binomial,PCA,Segment classification,Colour discriminability
Acanthagenys rufogularis,-0.53,-0.64,-0.45
Acanthiza apicalis,0.07,-0.26,-0.3
Acanthiza chrysorrhoa,-0.32,-0.52,-0.55
Acanthiza lineata,-0.7,-0.75,-0.69
Acanthiza nana,-0.19,-0.47,-0.24
Acanthiza pusilla,-0.21,-0.48,-0.46
Acanthiza reguloides,-0.8,-0.65,-0.61
Acanthiza uropygyialis,-0.29,-0.44,-0.58
Acanthorhynchus tenuirostris,-0.85,-0.29,-0.42
Accipiter cirrocephalus,-0.03,-0.2,-0.2
Accipiter fasciatus,-0.46,-0.51,-0.34
Accipiter gentilis,-0.2,-0.56,-0.54
Accipiter nisus,-0.41,-0.71,-0.77
Accipiter novaehollandiae,0.66,-0.55,-0.75
Acridotheres tristis,-0.57,-0.45,-0.59
Acrocephalus arundinaceus,-0.78,-0.82,-0.68
Acrocephalus palustris,0.06,-0.47,-0.43
Acrocephalus schoenobaenus,-0.44,-0.66,-0.51
Acrocephalus scirpaceus,-0.06,-0.42,-0.14
Acrocephalus stentoreus,-0.59,-0.73,-0.51
Aegolius funereus,-0.41,-0.64,-0.66
Aethia pusilla,-0.66,-0.77,-0.62
Agelaius phoeniceus,1.06,1.49,3.34
Agelaius tricolor,0.38,1.5,2.08
Ailuroedus buccoides,-0.8,-0.57,-0.37
Ailuroedus crassirostris,-0.8,-0.72,-0.51
Aimophila botterii,-0.19,-0.52,-0.38
Aimophila cassinii,-0.59,-0.73,-0.7
Aimophila ruficeps,-0.32,-0.72,-0.72
Aix sponsa,0.75,0.29,-0.01
Alauda arvensis,-0.69,-0.72,-0.6
Alca torda,-0.63,-0.76,-0.79
Alectoris graeca,-0.63,-0.79,-0.71
Alectoris rufa,-0.54,-0.08,-0.08
Alectura lathami,-0.72,-0.4,-0.52
Alethe diademata,-0.63,-0.51,-0.43
Alethe poliophrys,-0.78,-0.68,-0.55
Alisterus scapularis,1.02,3.32,2.04
Alle alle,-0.75,-0.24,-0.55
Amalocichla incerta,-0.59,-0.74,-0.66
Amblyornis macgregoriae,0.37,-0.39,-0.07
Ammodramus caudacutus,-0.41,-0.71,-0.63
Ammodramus leconteii,-0.12,-0.53,-0.25
Ammodramus maritimus,-0.78,-0.59,-0.53
Ammodramus savannarum,-0.43,-0.65,-0.61
Amphispiza bilineata,-0.75,0.23,-0.54
Amytornis purnelli,-0.79,-0.82,-0.6
Amytornis striatus,-0.56,-0.25,-0.26
Anas acuta,1.98,0.27,0.17
Anas americana,2.26,0.18,-0.28
Anas castanea,0.13,0.19,0.15
Anas clypeatea,1.4,0.14,0.22
Anas crecca,1.18,0.62,0.19
Anas discors,1.91,0.6,-0.2
Anas georgica,0.22,-0.54,-0.58
Anas gracilis,-0.45,-0.72,-0.62
Anas platyrhynchos,0.91,0.34,0.46
Anas rhynchotis,0.56,0.91,0.44
Anas rubripes,-0.45,-0.79,-0.64
Anas superciliosa,-0.4,-0.61,-0.55
Anhinga melanogaster,5,1.42,0.24
Anisognathus igniventris,-0.73,0.61,-0.43
Anous stolidus,-0.7,-0.81,-0.77
Anser albifrons,-0.4,-0.63,-0.5
Anser caerulescens,-,0.36,-
Anthochaera carunculata,-0.69,-0.63,-0.28
Anthochaera chrysoptera,-0.45,-0.6,-0.58
Anthochaera paradoxa,-0.34,-0.62,-0.58
Anthus novaeseelandiae,-0.28,-0.46,-0.44
Anthus pratensis,-0.75,-0.81,-0.66
Anthus rubescens,-0.57,-0.74,-0.61
Anthus spinoletta,-0.56,-0.65,-0.62
Apalis ruwenzorii,-0.57,-0.41,-0.38
Apalis thoracica,-0.49,-0.6,-0.55
