binomial,English_name,TipLabel,Female_plumage_score,Male_plumage_score,Body_size_ppca,Tropical_life_history_ppca,Sexual_selection_ppca,Cooperative_breeding_ppca,Migration_ppca
Abroscopus albogularis,Rufous-faced Warbler,Abroscopus_albogularis,45.83333333,51.94444444,NA,NA,NA,NA,NA
Abroscopus schisticeps,Black-faced Warbler,Abroscopus_schisticeps,48.88888889,47.77777778,NA,NA,NA,NA,NA
Abroscopus superciliaris,Yellow-bellied Warbler,Abroscopus_superciliaris,43.19444444,43.61111111,NA,NA,NA,NA,NA
Acanthagenys rufogularis,Spiny-cheeked Honeyeater,Acanthagenys_rufogularis,39.30555556,39.16666667,0.813899842,-0.196523525,-0.291998116,-0.445276143,-0.539632293
Acanthidops bairdii,Peg-billed Finch,Acanthidops_bairdii,40.55555556,54.16666667,NA,NA,NA,NA,NA
Acanthisitta chloris,Rifleman,Acanthisitta_chloris,48.75,51.11111111,-1.488215155,-0.815372281,-0.984404225,2.244888527,-0.539632293
Acanthiza apicalis,Inland Thornbill,Acanthiza_apicalis,43.19444444,44.86111111,NA,NA,NA,NA,NA
Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Acanthiza_chrysorrhoa,50.13888889,49.44444444,-1.070680255,-0.692593884,-0.602185766,2.244888527,-0.539632293
Acanthiza ewingii,Tasmanian Thornbill,Acanthiza_ewingii,40.41666667,40.27777778,-1.385903961,-0.617008695,-0.394354476,-0.445276143,-0.539632293
Acanthiza inornata,Western Thornbill,Acanthiza_inornata,43.33333333,45.41666667,-1.49060283,-0.67106078,-0.345876134,2.244888527,-0.539632293
Acanthiza iredalei,Slender-billed Thornbill,Acanthiza_iredalei,46.80555556,47.08333333,-1.567400178,-0.629206443,-0.435385613,2.244888527,-0.539632293
Acanthiza katherina,Mountain Thornbill,Acanthiza_katherina,41.25,43.19444444,-1.378541496,0.26873757,-0.391633221,2.244888527,-0.539632293
Acanthiza lineata,Striated Thornbill,Acanthiza_lineata,45.97222222,44.16666667,-1.366550283,-0.474054418,-0.505595639,2.244888527,-0.539632293
Acanthiza murina,Papuan Thornbill,Acanthiza_murina,45,40.83333333,NA,NA,NA,NA,NA
Acanthiza nana,Yellow Thornbill,Acanthiza_nana,38.05555556,38.05555556,-1.529711179,-0.564863378,-0.554356545,2.244888527,-0.539632293
Acanthiza pusilla,Brown Thornbill,Acanthiza_pusilla,41.66666667,40.83333333,-1.360274681,-0.422929605,-0.332273736,-0.445276143,-0.539632293
Acanthiza reguloides,Buff-rumped Thornbill,Acanthiza_reguloides,42.91666667,42.36111111,-1.302895172,-0.630043913,-0.411146379,2.244888527,-0.539632293
Acanthiza robustirostris,Slaty-backed Thornbill,Acanthiza_robustirostris,46.66666667,45.69444444,-1.47831137,-0.452193651,-0.362936358,-0.445276143,-0.539632293
Acanthiza uropygialis,Chestnut-rumped Thornbill,Acanthiza_uropygialis,41.11111111,42.08333333,-1.4652616,-0.551042271,-0.444472309,2.244888527,-0.539632293
Acanthorhynchus superciliosus,Western Spinebill,Acanthorhynchus_superciliosus,36.94444444,48.05555556,-0.985401185,-0.052622147,-0.14005922,-0.445276143,-0.539632293
Acanthorhynchus tenuirostris,Eastern Spinebill,Acanthorhynchus_tenuirostris,48.88888889,53.33333333,-0.868175609,-0.163494775,0.062613155,-0.445276143,-0.539632293
Acanthornis magna,Scrubtit,Acanthornis_magna,46.66666667,45.55555556,-1.060611974,-0.517535046,-0.168513604,-0.445276143,-0.539632293
Achaetops pycnopygius,Rockrunner,Achaetops_pycnopygius,46.38888889,44.58333333,-0.220035854,-0.010701075,-0.446237012,-0.445276143,-0.539632293
Acridotheres albocinctus,Collared Myna,Acridotheres_albocinctus,58.47222222,59.44444444,NA,NA,NA,NA,NA
Acridotheres cinereus,Pale-bellied Myna,Acridotheres_cinereus,52.08333333,52.5,NA,NA,NA,NA,NA
Acridotheres cristatellus,Crested Myna,Acridotheres_cristatellus,58.47222222,58.61111111,1.567629073,-0.559990673,-0.455444962,-0.445276143,-0.539632293
Acridotheres fuscus,Jungle Myna,Acridotheres_fuscus,53.88888889,51.11111111,1.30792503,-0.486869815,-0.416008392,-0.445276143,-0.539632293
Acridotheres ginginianus,Bank Myna,Acridotheres_ginginianus,52.77777778,53.88888889,1.168701024,-0.651346704,-0.333838709,-0.445276143,-0.539632293
Acridotheres grandis,White-vented Myna,Acridotheres_grandis,59.86111111,60.27777778,NA,NA,NA,NA,NA
Acridotheres tristis,Common Myna,Acridotheres_tristis,58.33333333,59.02777778,1.646178881,-0.52709091,-0.377367996,-0.445276143,-0.539632293
Acrobatornis fonsecai,Pink-legged Graveteiro,Acrobatornis_fonsecai,52.63888889,52.08333333,NA,NA,NA,NA,NA
Acrocephalus aedon,Thick-billed Warbler,Acrocephalus_aedon,42.63888889,38.19444444,-0.154100004,-1.849800786,-0.126904057,-0.445276143,2.473771992
Acrocephalus aequinoctialis,Kiritimati Reed-warbler,Acrocephalus_aequinoctialis,46.38888889,51.11111111,NA,NA,NA,NA,NA
Acrocephalus agricola,Paddyfield Warbler,Acrocephalus_agricola,46.94444444,43.88888889,-1.105433593,-1.707450315,-0.319109052,-0.445276143,2.473771992
Acrocephalus arundinaceus,Great Reed-warbler,Acrocephalus_arundinaceus,48.88888889,45.83333333,0.191112913,-1.497300969,0.950619753,-0.445276143,2.473771992
Acrocephalus atyphus,Tuamotu Reed-warbler,Acrocephalus_atyphus,44.02777778,43.47222222,NA,NA,NA,NA,NA
Acrocephalus australis,Australian Reed-warbler,Acrocephalus_australis,45.41666667,42.22222222,-0.388056605,-0.544422432,0.847293753,-0.445276143,-0.539632293
