binomial,extinction.rate.hackett,extinction.rate.ericson,rab.ex.rate.lumped,rab.ex.rate.split,English_name,TipLabel,Female_plumage_score,Male_plumage_score,Body_size_ppca,Tropical_life_history_ppca,Sexual_selection_ppca,Cooperative_breeding_ppca,Migration_ppca,SDi,range.size.m2,bioclim1,bioclim2,bioclim3,bioclim4,bioclim5,bioclim6,bioclim7,bioclim8,bioclim9,bioclim10,bioclim11,bioclim12,bioclim13,bioclim14,bioclim15,bioclim16,bioclim17,bioclim18,bioclim19,se.bioclim1,se.bioclim2,se.bioclim3,se.bioclim4,se.bioclim5,se.bioclim6,se.bioclim7,se.bioclim8,se.bioclim9,se.bioclim10,se.bioclim11,se.bioclim12,se.bioclim13,se.bioclim14,se.bioclim15,se.bioclim16,se.bioclim17,se.bioclim18,se.bioclim19,cclgmbi1,cclgmbi10,cclgmbi11,cclgmbi12,cclgmbi13,cclgmbi14,cclgmbi15,cclgmbi16,cclgmbi17,cclgmbi18,cclgmbi19,cclgmbi2,cclgmbi3,cclgmbi4,cclgmbi5,cclgmbi6,cclgmbi7,cclgmbi8,cclgmbi9,se.cclgmbi1,se.cclgmbi10,se.cclgmbi11,se.cclgmbi12,se.cclgmbi13,se.cclgmbi14,se.cclgmbi15,se.cclgmbi16,se.cclgmbi17,se.cclgmbi18,se.cclgmbi19,se.cclgmbi2,se.cclgmbi3,se.cclgmbi4,se.cclgmbi5,se.cclgmbi6,se.cclgmbi7,se.cclgmbi8,se.cclgmbi9,NPP,NPP.se,Pop_Density,pop.density.se,X2010.IUCN.Red.List.category,BLFamilyLatin,BLFamilyEnglish,IOCOrder,PassNonPass,OscSubOsc,PCA,Segment.classification,Colour.discriminability
Abroscopus schisticeps,0.002813173,0.003853854,0.009657423,0.006958363,Black-faced Warbler,Abroscopus_schisticeps,48.88888889,47.77777778,NA,NA,NA,NA,NA,0.977272727,9.09E+11,129.514,112.9,45.679,4570.679,232.445,-12.545,244.99,179.247,73.259,180.855,65.498,1354.842,301.996,7.917,91.283,802.294,39.424,733.571,47.861,2.262195246,0.474789875,0.117600122,26.24358912,1.974994577,2.612917778,0.931361011,1.927214089,2.477425995,1.941195048,2.470694706,20.17502011,4.765905984,0.147274576,0.314219103,12.64923392,0.787709788,11.41401142,1.275821853,89.229,143.395,22.488,1283.329,278.35,8.596,86.659,727.401,40.051,692.164,48.207,114.561,45.117,4763.852,194.939,-57.688,252.627,139.531,26.517,2.407348726,2.047703119,2.666323524,20.65519998,4.854899747,0.173836138,0.397888218,12.78539434,0.881425726,12.38824522,1.32600771,0.404618332,0.130967414,29.72822574,2.048245246,2.77801152,1.01782407,2.137698481,2.659699929,10520.56,357.8284326,61.83628935,3.821817511,LC,Sylviidae,Old World warblers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Abroscopus superciliaris,0.003818999,0.002521309,0.00782063,0.005903047,Yellow-bellied Warbler,Abroscopus_superciliaris,43.19444444,43.61111111,NA,NA,NA,NA,NA,1.009646302,2.49E+12,241.631,93.219,68.352,1716.901,310.986,160.131,150.855,252.829,222.071,259.68,216.63,2312.075,367.386,71.389,58.139,991.172,246.022,696.616,417.294,0.976242741,0.469688883,0.615817609,50.43263116,0.880254879,1.965929989,1.848331763,0.663469631,1.563698536,0.741240202,1.570300272,23.75251615,4.302562847,2.204585193,0.958880144,11.14190192,7.058247826,9.614930027,12.36096991,205.494,226.776,176.699,2058.449,352.927,50.547,63.15,901.991,190.479,726.825,300.253,105.648,64.53,1990.674,284.754,110.664,174.09,220.856,182.375,0.95247844,0.74064457,1.489320138,21.6417122,4.006502182,1.788806759,0.913897537,10.73798376,6.160495862,9.49087652,9.086979486,0.495034499,0.475250421,47.26425929,0.970227203,1.808750586,1.709775199,0.679765655,1.546628732,9972.319,196.7814264,138.5161097,16.79278692,LC,Sylviidae,Old World warblers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Acanthagenys rufogularis,0.001392305,0.004430987,0.016499419,0.01687233,Spiny-cheeked Honeyeater,Acanthagenys_rufogularis,39.30555556,39.16666667,0.813899842,-0.196523525,-0.291998116,-0.445276143,-0.539632293,0.996466431,5.98E+12,206.962,143.427,48.491,5367.123,352.782,58.92,293.862,235.758,180.324,271.576,134.864,360.321,60.358,11.969,49.731,156.643,44.277,127.253,72.455,1.044950945,0.366924112,0.088598921,23.97041348,1.084228771,0.74188948,0.910102875,2.3173229,1.250252837,1.08943338,0.94352729,6.581430178,1.243814661,0.328898485,0.817099927,3.318853769,1.085438366,2.976967471,2.018009499,170.199,234.929,98.309,357.846,64.448,9.945,57.928,165.967,36.856,130.402,65.147,146.912,48.649,5365.431,318.317,18.781,299.536,192.408,143.526,1.019177178,0.969030949,0.950613057,6.400368661,1.30581486,0.306786722,0.883379406,3.461625162,1.001978655,3.043478134,2.158079864,0.331028452,0.089854732,18.8720438,0.886074285,0.702183809,0.688961081,2.319564165,1.188879623,3207.206,268.1240657,3.85415091,2.460000329,LC,Meliphagidae,Honeyeaters,PASSERIFORMES,PASSERIFORMES,Passeri,-0.53,-0.64,47
Acanthidops bairdii,0.002751684,0.002767463,0.006982798,0.007426452,Peg-billed Finch,Acanthidops_bairdii,40.55555556,54.16666667,NA,NA,NA,NA,NA,1.335616438,4743278568,146.652,88.616,79.581,577.347,202.206,91.601,110.605,147.569,142.716,152.516,138.138,3188.236,471.487,75.173,51.631,1242.237,255.993,857.462,466.164,0.931514152,0.201258662,0.054262173,1.073591724,1.057496034,0.882885772,0.218138854,0.884163437,0.989003272,0.952991047,0.94209049,22.23198348,2.891679381,1.224106003,0.25715164,7.443885428,3.951426163,6.993809973,7.687801988,112.411,119.31,101.258,3031.311,450.848,96.493,47.267,1236.709,339.631,791.996,508.649,99.547,77.688,737.875,177.124,49.703,127.421,114.904,109.227,0.924998217,0.948805635,0.930289673,25.69328993,2.998075942,1.779460151,0.316559506,8.589608005,5.769576835,7.583803403,7.455741672,0.240265517,0.056655678,1.382339407,1.079142796,0.865746099,0.302541386,0.878876105,1.008926858,9221.123,54.41937276,34.96609429,2.204196804,LC,Emberizidae,"Buntings, American sparrows and allies",PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Acanthisitta chloris,0.052868425,0.015996628,0.005475375,0.003376274,Rifleman,Acanthisitta_chloris,48.75,51.11111111,-1.488215155,-0.815372281,-0.984404225,2.244888527,-0.539632293,1.048433048,1.53E+11,91.53353353,92.84084084,45.95695696,3684.578579,197.2242242,-2.815815816,200.04004,71.58458458,105.1391391,137.5065065,42.3043043,1927.014014,194.1421421,112.7617618,14.46946947,552.1891892,404.6936937,425.3583584,499.8848849,0.839212757,0.212902761,0.043598714,11.15592761,0.692557378,0.902542092,0.484611674,0.965134807,1.655489085,0.765700612,0.955004591,28.56043192,2.850378842,1.695933406,0.117431519,8.105979431,6.174886857,6.68777581,6.670603242,53.611,105.674,-1.046,1879.484,192.274,102.299,16.277,549.035,376.387,392.18,503.345,101.959,45.056,4132.079,172.644,-51.101,223.745,30.823,90.029,0.850494574,0.797863591,0.95603027,29.69742451,2.984685456,1.591259157,0.130365894,8.526284613,6.237920718,6.299856808,7.18856268,0.364598754,0.099633282,12.35385837,0.86147978,0.844852991,0.569526413,0.932289029,1.203113312,13507.787,385.1541436,10.13844222,5.920207263,LC,Acanthisittidae,New Zealand wrens,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA
Acanthiza apicalis,0.002113668,0.002319708,0.01344125,0.013282574,Inland Thornbill,Acanthiza_apicalis,43.19444444,44.86111111,NA,NA,NA,NA,NA,1.038585209,4.12E+12,206.775,144.352,47.829,5544.464,356.43,56.804,299.626,236.334,177.158,273.889,132.594,296.647,48.885,10.002,45.475,126.279,37.179,101.157,63.745,0.802440207,0.292704239,0.084704982,22.14258184,0.851854892,0.530026898,0.79588665,2.161601018,1.190070293,0.877298314,0.685532727,3.977879827,0.899618301,0.177807794,0.700807039,2.312738619,0.598149431,2.019134283,1.764235955,170.19,237.091,96.755,296.16,53.576,7.933,54.609,136.271,30.327,103.631,58.817,147.277,48.069,5506.308,321.761,17.928,303.833,192.879,141.92,0.77584782,0.766938664,0.688981619,4.278671222,1.041300404,0.15296375,0.737676274,2.690005518,0.529352704,2.215078647,2.052947663,0.291999203,0.081565262,17.04299941,0.675350262,0.500615053,0.606599599,2.14838216,1.10788854,2242.733,196.0605557,6.205217416,3.553989838,LC,Acanthizidae,Thornbills and gerygones,PASSERIFORMES,PASSERIFORMES,Passeri,0.07,-0.26,32
Acanthiza chrysorrhoa,0.008185209,0.001332413,0.013959821,0.013578008,Yellow-rumped Thornbill,Acanthiza_chrysorrhoa,50.13888889,49.44444444,-1.070680255,-0.692593884,-0.602185766,2.244888527,-0.539632293,0.986149584,4.59E+12,193.015,140.513,48.555,5234.497,338.399,50.858,287.541,213.873,174.673,256.976,123.29,415.425,62.471,16.382,41.931,164.478,58.471,129.274,94.386,1.101868817,0.470413775,0.085990519,26.94180868,1.343035943,0.69673185,1.118623993,2.43363256,1.296231572,1.256214751,0.916046419,9.14626889,1.376021291,0.459599072,0.697922155,3.70544435,1.544463184,3.197398361,2.860110354,156.242,221.403,86.019,408.119,65.441,14.069,48.906,170.646,50.262,132.233,86.509,144.966,48.595,5294.672,306.089,10.212,295.877,172.697,138.362,1.07980434,1.131325987,0.946594253,9.018525969,1.430441429,0.430743286,0.744016616,3.902426119,1.433647342,3.382457351,2.972122378,0.397442832,0.086315847,20.42302599,1.111931414,0.697769258,0.824503291,2.384640371,1.279783107,4350.932,276.5353572,3.355947803,2.274303733,LC,Acanthizidae,Thornbills and gerygones,PASSERIFORMES,PASSERIFORMES,Passeri,-0.32,-0.52,57
Acanthiza ewingii,0.002684369,0.002319708,0.014643041,0.013410139,Tasmanian Thornbill,Acanthiza_ewingii,40.41666667,40.27777778,-1.385903961,-0.617008695,-0.394354476,-0.445276143,-0.539632293,0.996563574,68050509163,103.295,86.428,49.411,2954.563,199.99,26.804,173.186,72.816,140.999,141.382,65.143,1314.451,152.78,60.472,24.43,426.95,214.557,215.597,415.88,0.622251695,0.3379838,0.046971111,10.25922345,0.56111563,0.684227851,0.634859394,0.833399483,0.585853414,0.589025489,0.683716329,18.25788728,2.125499788,0.724787233,0.221707587,6.097719055,2.780148193,2.759939466,5.955611548,63.283,112.241,15.525,1384.726,165.745,61.125,24.955,453.197,218.55,248.252,438.569,111.25,49.384,3741.293,190.871,-31.61,222.481,37.128,104.702,0.596681607,0.58805674,0.662199277,20.49674539,2.506125024,0.664321231,0.19031867,6.932573748,2.718744392,2.932404046,7.076329817,0.585470987,0.076644755,15.54913196,0.73210268,0.686940891,0.978439054,1.209803803,0.663971426,14872.985,264.412379,12.71674748,4.051634272,LC,Acanthizidae,Thornbills and gerygones,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Acanthiza inornata,0.002113668,0.002004154,0.013758543,0.013288166,Western Thornbill,Acanthiza_inornata,43.33333333,45.41666667,-1.49060283,-0.67106078,-0.345876134,2.244888527,-0.539632293,1.048076923,1.37E+11,166.228,122.805,50.371,4242.943,305.536,63.057,242.479,120.101,215.448,222.113,114.995,611.019,113.214,12.871,65.676,302.556,46.74,51.065,299.301,0.463589183,0.42664388,0.062652089,23.05911292,0.910037841,0.414264851,1.035724038,0.423750355,0.502045163,0.678150514,0.389423453,7.043165682,1.496828882,0.149982845,0.448026508,3.978055025,0.421872465,0.413630106,3.962193,132.151,189.644,80.581,653.047,132.831,11.017,75.957,355.064,41.429,44.737,333.797,130.34,50.925,4329.042,280.233,25.997,254.236,90.192,180.825,0.50211983,0.68931736,0.430498278,7.771631428,1.845757096,0.119117169,0.485411965,4.758423952,0.413170266,0.393093314,4.546358891,0.392538516,0.072997971,21.08071443,0.811547485,0.448946036,0.905493358,0.446374715,0.590085227,8625.122,268.2728137,26.37246846,6.351658884,LC,Acanthizidae,Thornbills and gerygones,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Acanthiza iredalei,0.003750614,0.002004154,0.01344125,0.015935842,Slender-billed Thornbill,Acanthiza_iredalei,46.80555556,47.08333333,-1.567400178,-0.629206443,-0.435385613,2.244888527,-0.539632293,1.005934718,9.87E+11,181.249,137.127,49.623,4886.985,327.529,52.425,275.104,150.203,200.333,242.481,117.436,295,39.745,12.438,33.785,107.294,43.522,56.556,98.349,0.70328914,0.413204076,0.107379707,27.99356584,1.085046766,0.415363578,1.056692852,1.549119609,1.033050485,0.985554136,0.487786675,4.384732361,0.656140606,0.198028714,0.500505025,1.803734188,0.627706565,0.478403317,1.90285103,147.233,212.848,80.611,288.623,41.849,11.595,37.93,109.437,41.738,56.114,95.509,145.094,49.253,5159.555,305.138,13.19,291.948,103.815,170.984,0.712858245,0.875379452,0.5354254,4.466728393,0.66507332,0.207422272,0.504457706,1.867797821,0.663113169,0.497598843,1.982864511,0.406930899,0.089694125,19.43196609,0.85095304,0.428961429,0.696451248,1.316212441,0.984336661,3375.169,218.8051445,0.502529853,0.175173019,LC,Acanthizidae,Thornbills and gerygones,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
