jetz.name,iucn,binomial
Abroscopus albogularis,yes,Abroscopus albogularis
Abroscopus schisticeps,yes,Abroscopus schisticeps
Abroscopus superciliaris,yes,Abroscopus superciliaris
Acanthagenys rufogularis,yes,Acanthagenys rufogularis
Acanthidops bairdii,yes,Acanthidops bairdii
Acanthisitta chloris,yes,Acanthisitta chloris
Acanthiza apicalis,yes,Acanthiza apicalis
Acanthiza chrysorrhoa,yes,Acanthiza chrysorrhoa
Acanthiza ewingii,yes,Acanthiza ewingii
Acanthiza inornata,yes,Acanthiza inornata
Acanthiza iredalei,yes,Acanthiza iredalei
Acanthiza katherina,yes,Acanthiza katherina
Acanthiza lineata,yes,Acanthiza lineata
Acanthiza murina,yes,Acanthiza murina
Acanthiza nana,yes,Acanthiza nana
Acanthiza pusilla,yes,Acanthiza pusilla
Acanthiza reguloides,yes,Acanthiza reguloides
Acanthiza robustirostris,yes,Acanthiza robustirostris
Acanthiza uropygialis,yes,Acanthiza uropygialis
Acanthorhynchus superciliosus,yes,Acanthorhynchus superciliosus
Acanthorhynchus tenuirostris,yes,Acanthorhynchus tenuirostris
Acanthornis magna,yes,Acanthornis magna
Achaetops pycnopygius,yes,Achaetops pycnopygius
Acridotheres albocinctus,yes,Acridotheres albocinctus
Acridotheres cinereus,yes,Acridotheres cinereus
Acridotheres cristatellus,yes,Acridotheres cristatellus
Acridotheres fuscus,yes,Acridotheres fuscus
Acridotheres ginginianus,yes,Acridotheres ginginianus
Acridotheres grandis,yes,Acridotheres grandis
Acridotheres tristis,yes,Acridotheres tristis
Acrobatornis fonsecai,yes,Acrobatornis fonsecai
Acrocephalus aedon,no,Arundinax aedon
Acrocephalus aequinoctialis,yes,Acrocephalus aequinoctialis
Acrocephalus agricola,yes,Acrocephalus agricola
Acrocephalus arundinaceus,yes,Acrocephalus arundinaceus
Acrocephalus atyphus,yes,Acrocephalus atyphus
Acrocephalus australis,yes,Acrocephalus australis
Acrocephalus baeticatus,no,Acrocephalus scirpaceus
Acrocephalus bistrigiceps,yes,Acrocephalus bistrigiceps
Acrocephalus brevipennis,yes,Acrocephalus brevipennis
Acrocephalus caffer,yes,Acrocephalus caffer
Acrocephalus concinens,yes,Acrocephalus concinens
Acrocephalus dumetorum,yes,Acrocephalus dumetorum
Acrocephalus familiaris,yes,Acrocephalus familiaris
Acrocephalus gracilirostris,yes,Acrocephalus gracilirostris
Acrocephalus griseldis,yes,Acrocephalus griseldis
